"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
2,11.9,0.305,0.4,53.7,-0.334,44,216,0.97933,2.45,0.46,4.4,-1,8,"0"
2,16.6,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,3.6,-2,6,"1"
0,0.2,1.94,0.64,2.6,0.086,16,-401,0.9662,3.38,0.74,10.7,0,8,"0"
0,7.8,0.34,-0.86,2,0.481,232,-245,0.9964,3.34,0.59,15.6,-1,9,"2"
2,11.9,1.8,-0.97,2.1,0.18,231,42,1.04206,2.35,0.64,13.4,-1,7,"0"
3,8.2,0.61,0.45,-56.3,0.581,-94,162,1.00604,2.17,0.34,7.1,0,9,"3"
5,6.6,0.25,0.09,-121,0.486,-276,183,1.00571,3.42,0.69,15.2,1,7,"3"
0,13.6,-1.02,0.33,10.1,-0.255,-218,458,0.9949,3.91,-0.69,11.1,0,8,"1"
5,9.4,0.25,-0.98,45.1,0.059,100,-223,0.9984,3.51,-0.98,9.8,1,7,"4"
0,6.6,1.84,-1.05,-14.3,0.035,10,363,0.98916,3.87,0.6,7.7,-1,7,"1"
4,-8.1,0.23,0.46,-52.1,0.524,9,72,0.9941,5.14,2.16,5.5,0,9,"3"
6,6.7,0.28,0.31,7.4,0.637,-74,81,1.02966,3.65,0.81,17,0,7,"2"
2,13.5,0.13,0.46,0.9,-0.532,9,65,0.97426,3.7,0.35,11.2,0,7,"0"
0,3.8,0.05,-0.27,48.1,0.916,27,281,0.99534,3.4,0.85,16.8,1,8,"0"
5,-2.2,0.25,1.99,4.1,0.041,-164,-72,0.95758,3.25,0.59,11.3,1,8,"1"
2,5.9,0.94,-1.33,7.9,0.576,119,197,0.99512,3.21,0.36,10.5,-1,6,"2"
0,0,-2.19,-0.1,4.5,0.602,17,-259,0.93953,3.42,3.1,13.7,1,6,"0"
4,7.4,-0.66,0.05,-3.1,-0.568,-289,346,0.9951,3.1,0.79,10.6,0,8,"3"
0,4.9,-0.33,0.44,1,-0.446,24,424,1.03068,4.07,-0.12,11.2,1,9,"0"
6,5.7,-1,0.3,-17.6,-0.321,250,404,0.98963,2.92,-0.46,12,2,6,"4"
3,-15.7,0.3,-0.01,45.1,0.058,-351,215,0.98665,3.19,1.68,9.6,-1,7,"1"
5,6.8,-0.81,0.29,11.9,-0.404,311,304,0.95249,3.02,0.58,10.4,1,7,"3"
5,-5.6,-1.02,1.5,12,-0.501,61,81,0.98019,2.07,0.59,12.8,1,7,"3"
0,-2.8,0.23,0.36,17.2,0.039,37,510,0.99946,3.65,0.01,-0.1,0,7,"0"
3,5.8,0.3,0.47,54.9,0.202,-87,136,0.9927,3.19,0.45,9.5,0,7,"2"
3,6.2,0.34,0.25,12.1,0.059,33,153,1.02835,3.14,0.56,13.1,-1,7,"2"
5,6.2,0.98,0.25,17.9,0.03,35,105,1.05289,4.56,0.44,8.9,0,7,"3"
3,13.2,1.76,-2,12.7,-0.052,25,188,1.01801,3.63,0.59,9.3,-1,8,"1"
4,-7.5,0.25,0.32,10.3,0.041,66,272,0.9969,3.83,0.52,9.1,0,8,"1"
4,6.6,0.75,0.5,71.8,0.036,41,-176,0.97286,3.34,-0.59,11,0,7,"1"
1,8.6,0.34,0.36,1.4,0.125,60,119,1.00261,3.65,0.47,9.4,-1,9,"2"
3,-9,1.35,-0.36,-53,-0.041,-77,-126,0.94212,3.3,-1.19,14.1,0,7,"2"
4,7.4,-0.92,0.36,-17.5,0.067,134,178,0.9976,3.01,-0.51,14,0,8,"0"
0,10.4,0.34,-1.04,-115.5,-0.345,157,399,1.02578,3.07,-0.26,9.3,0,7,"1"
3,6.8,0.63,-0.5,51.3,0.058,275,133,1.03334,3.36,1.35,10.2,1,7,"1"
0,4.4,1.53,-1.04,50,0.599,18,141,0.98698,3.89,-1.78,12.5,1,7,"0"
0,6.6,0.34,0.4,-49.5,0.046,198,170,0.94404,3.38,0.23,4.4333333333,-1,7,"0"
4,0.5,1.11,1.74,14.9,-0.234,82,142,0.99705,3.14,-0.38,9.7,0,7,"2"
4,11.8,0.27,0.46,-53.5,0.034,254,140,1.02054,2.84,1.81,11.1,0,7,"2"
4,6.8,0.69,0.25,6,-0.062,34,-81,0.99668,3.19,3.6,17.5,1,9,"2"
3,6.2,0.25,0.26,13.5,-0.303,26,-154,0.99784,2.26,0.31,6.5,-1,7,"3"
0,-4.2,0.65,0.06,-50.4,-0.066,6,-386,0.99348,4.16,0.54,16.05,0,7,"0"
4,6,0.88,0.26,-62.1,-0.379,-29,397,0.99238,3.34,0.44,13.7,0,8,"1"
3,7.8,1.75,0.44,1.3,-0.178,206,166,1.0297,3.9,1.69,4.8,0,9,"2"
4,7.8,0.7,0.06,1.9,-0.182,112,191,0.99628,3.4,0.01,10.9,1,9,"3"
3,6,0.16,0.3,50.3,0.579,43,-157,1.0443,3.37,1.78,19.2,0,6,"1"
0,6.7,-0.1,0.3,-122.7,0.048,-16,113,1.02724,3.33,0.44,10.1,-1,7,"0"
6,7.6,0.72,0.31,6,0.02,-34,90,0.98981,2.03,-1.75,13.4,1,7,"3"
3,21.1,-0.69,0.43,-45.7,0.581,-235,72,0.9918,3.23,0.53,14.4,-1,8,"1"
4,15.7,0.43,0.49,13,0.033,37,158,0.94895,5.52,0.35,11.3,0,9,"1"
5,13,0.93,0.28,-20.6,-0.112,491,203,0.9952,3.7,-0.65,9.4,0,9,"2"
3,9.2,0.24,0.31,2.3,0.579,63,113,0.99013,3.29,0.15,12.9,-1,7,"3"
2,5.8,1.73,0.35,-9.3,0.053,36,444,0.92945,3.28,0.5,10.2,0,6,"0"
5,6.2,-0.71,-0.29,1.6,-0.176,40,-318,0.98914,4.11,0.41,15,0,7,"3"
4,10.2,0.04,0.41,65.3,0.058,76,105,1.02363,2.54,0.51,9.7,0,9,"3"
3,8.4,-0.06,0.02,15.6,0.179,73,-132,1.0004,3.45,0.82,8.9,-1,9,"2"
0,-1.9,1.15,0.05,35.5,0.317,39,396,1.00575,4.56,0.11,10.1,-2,8,"0"
4,6.2,-0.09,0.3,16.9,0.359,285,-352,0.99728,3.18,0.47,7.7,0,7,"3"
4,1.3,-0.67,0.39,-16.5,-0.435,267,-111,0.99054,3.27,0.27,11.5,-1,7,"1"
3,18,0.34,0.19,7.2,-0.518,277,-334,0.95667,3.11,0.41,12.1,-1,8,"1"
3,22.5,0.64,-0.87,2.3,-0.054,14,438,1.03899,2.37,0.9,4.2,-1,7,"2"
0,7.4,-1.06,0.23,-37.1,0.045,53,147,0.99731,2.23,0.99,10.5,1,8,"0"
6,4.1,0.26,1.17,-48.3,-0.22,17,121,1.00361,3.09,0.72,11.6,1,9,"4"
4,9.7,0.44,-0.82,-54.8,0.039,5,-206,1.02288,2.53,0.86,9.9,0,11,"2"
4,8.1,-0.65,0.44,-41.2,0.161,65,153,0.99685,3.11,-2.71,9.1,1,7,"3"
4,-12.5,1.35,0.29,24.6,0.036,-185,579,0.99168,2.59,0.43,12.2,0,8,"2"
4,-0.6,1.32,-0.72,31.4,0.321,241,108,1.02629,5.68,0.35,6.7,0,9,"1"
4,7.1,0.97,-0.62,3.6,-0.361,45,-15,0.993,1.85,0.78,11.4,0,8,"1"
5,6.8,-0.41,-0.8,1.1,-0.261,32,133,0.98483,3.15,0.45,11,0,7,"3"
0,-2.3,0.95,2.02,14.35,0.578,118,191,1.01397,3.32,0.88,8.7,0,10,"2"
3,5.3,0.33,-0.55,7.8,0.052,-67,183,0.99657,3.39,0.65,9.5,0,7,"1"
5,5.8,0.33,1.01,38.3,0.164,-117,104,0.9909,2.4,-1.06,15.55,0,6,"2"
5,-9.1,0.22,0.3,10.6,0.499,67,194,0.99654,2.89,0.42,10.7,1,7,"2"
4,-3.8,1.61,0.71,45.6,-0.515,-200,351,0.9983,2.99,0.3,9.2,0,8,"3"
2,7.1,0.85,-0.3,53.3,0.046,255,-319,0.9998,5.03,0.39,8.7,-1,8,"1"
3,19.3,0.31,0.22,13.3,0.048,125,212,1.01013,4.48,0.49,15.9,0,8,"1"
5,5,-0.07,1.68,-26.8,0.021,244,-253,0.98774,3.3,0.32,16.5,0,6,"2"
5,8.9,0.61,2.02,-13.5,-0.173,-231,110,0.9972,3.12,-0.85,9.3,2,10,"1"
3,-1.9,0.17,-1.66,2.9,0.636,40,-102,0.99243,3.45,0.56,10,0,6,"2"
4,7.7,0.75,0.27,28.5,-0.212,198,514,1.04625,3.29,-0.77,9.1,1,9,"2"
3,21.5,0.24,-1.2,-23.1,-0.418,38,473,1.03219,3.12,0.55,9.9,-1,7,"3"
0,-3.8,0.21,0.02,2.5,0.624,-210,438,0.9972,3.54,-0.55,9.3,0,8,"1"
5,10.2,0.01,0.66,-50,-0.007,-113,25,0.98675,3.34,0.79,25.1,0,10,"3"
1,14.5,0.6,-1.03,1.3,0.042,-142,460,1.01814,3.61,1.95,9.8,-1,7,"0"
0,6.5,1.22,0.24,12.1,0.046,198,542,1.03297,2.99,-0.72,9.5,1,7,"0"
3,6.8,0.31,0.19,56,0.086,30,130,0.993,1.56,0.44,7.4,0,7,"1"
0,2.4,0.38,-0.19,-105.8,0.06,-114,113,1.02275,2.6,1.2,10.6,1,7,"0"
5,8.5,-1.1,-0.94,49.2,0.036,24,499,0.9932,2.53,0.01,10.5,1,9,"2"
2,7,-0.16,0.31,1.8,0.249,-223,-96,0.97737,2.02,0.87,9.4,-1,8,"1"
4,7.4,0.32,0.55,-18.6,0.049,53,552,0.95545,2.96,0.07,8.7,0,8,"3"
1,7.4,0.04,0.5,69.3,0.587,262,122,1.00639,2.28,0.44,9,-2,8,"1"
5,3.8,1.2,0.32,-19.4,-0.689,-216,159,0.99452,2.28,2.05,10.5,1,7,"2"
3,6.9,-0.28,-1.17,23.5,0.057,92,32,0.96938,2.98,0.47,5.9,0,8,"3"
2,6.2,0.485,-0.14,1.5,0.065,275,380,0.994,3.63,2.11,9.7,0,6,"1"
4,-3.8,0.3,1.62,30.75,0.025,51,-148,0.9928,2.6,0.32,8.8,0,8,"2"
5,4.4,0.43,1.87,-1.55,0.032,42,164,1.00844,3.29,-0.58,12,1,9,"2"
0,6.7,1.06,0.93,30.9,-0.902,35,96,0.94133,3.16,-1.12,9.3,0,7,"0"
3,0.5,0.72,-0.6,25.8,0.076,-228,-349,0.94874,3.39,0.65,12.9,0,9,"1"
3,7.7,1.1,-0.52,4.9,0.035,43,272,0.9995,3.19,0.58,12.3,-2,8,"2"
4,15.3,0.2,0.26,45.2,-0.333,53,125,0.998365,2.28,1.63,22,0,6,"3"
4,5.8,-0.8,0.26,15.8,-0.321,20,553,1.02193,3.27,0.43,9.7,0,6,"3"
5,-4.9,0.24,0.55,-41,-0.43,304,-197,0.97599,4.06,-0.73,9.2,2,7,"1"
0,-0.6,0.14,0.27,4.5,-0.423,27,95,0.99175,2.68,1.18,14.1,0,8,"2"
3,-1,0.56,0.93,68,0.042,36,429,0.98767,4.44,0.48,5.4,0,6,"2"
5,6.7,0.46,0.18,50.8,0.034,25,98,0.9896,3.08,-2.69,13.3,0,7,"2"
6,9.7,1.42,0.42,59.5,-0.764,-32,132,1.00954,4.08,1.88,11.5,1,7,"3"
3,5.6,0.19,0.27,43.9,-0.123,52,513,1.05807,3.5,0.39,11.2,0,6,"2"
4,7.2,1.57,1.94,47.7,0.402,-176,154,1.0825,3.2,-0.89,10.4,0,8,"1"
0,8.1,0.28,-1.51,-38,-0.356,18,258,1.03522,4.25,-0.45,8.5,1,9,"1"
3,10.3,1.45,-0.8,13.1,1.176,330,151,0.92325,3.18,-0.85,10.4,-1,8,"0"
4,19.8,0.22,0.38,14.8,0.054,75,49,0.95728,3.22,0.5,12.3,1,9,"2"
4,27.1,1.5,-0.55,64.8,-0.348,36,120,0.97311,3.38,0.4,11.5,0,6,"2"
5,7.2,-1.2,0.18,-38.7,0.405,-200,406,0.99744,3.42,0.66,11,0,6,"2"
4,-2.6,0.23,0.35,34.3,-0.197,60,171,0.97687,3.59,0.59,7.1,0,8,"1"
5,7,-1.02,-0.06,14.9,0.032,-12,536,1.08317,2.56,0.61,8.9,0,8,"2"
3,7.1,1.6,0.16,13.1,0.072,-215,107,1.04275,2.13,0.85,9.4,-1,8,"3"
3,2.2,1.58,0.9,1.5,-0.403,36,117,0.99001,2.57,0.54,9.7,-1,7,"2"
8,4.8,1.07,-1.34,-6.5,0.365,-147,-55.5,1.03741,2.76,0.46,8.9,2,8,"4"
0,9,0.43,0.34,-35.8,0.08,138,86,0.97299,3.82,2.89,9.8,0,10,"0"
4,7.3,0.32,-2.33,12.7,0.04,-505,140,1.0602,3.3,-0.07,11.7,0,8,"1"
5,7.2,-0.38,-1.15,31,-0.128,15,135,0.97479,3.23,2.18,11.3,0,8,"4"
3,-4.5,0.29,-0.74,-42,-1.066,-183,201,0.99954,3.3,0.67,9,0,8,"2"
5,6.5,0.37,0.3,17.6,0.033,-257,107,0.98894,3.14,-0.21,15.7,0,7,"4"
6,-2.9,-0.8,0.42,1.7,0.257,49,354,1.04248,3,-0.45,10.4,2,8,"3"
4,0,0.38,0.33,20.1,0.509,246,131,1.03903,3.03,0.44,14,0,8,"2"
4,7.7,0.96,0.2,2,0.047,15,60,1.08575,2.17,1.78,10.9,1,9,"3"
4,2.5,0.24,0.28,1.4,-0.09,40,115,1.03398,3.1,0.34,20.1,-1,6,"1"
2,7.5,0.2,0.47,3.2,0.593,-15,46,0.99944,1.33,0.35,21,-1,8,"2"
5,6.8,0.19,0.4,-1.25,0.055,284,-294,0.99532,2.98,0.58,10.5,1,7,"2"
3,9,-0.12,0.56,8.1,0.026,14,15,0.993,2.94,0.36,2.6,0,10,"0"
3,6,0.21,0.3,55,-0.892,-408,127,0.97412,3.18,0.39,6.8,0,7,"0"
4,7.5,0.24,0.02,10.6,0.403,266,153,0.98511,3.16,-0.14,8.8,1,8,"2"
6,12.1,-0.73,0.04,-55.3,0.036,291,-240,0.96632,3.36,0.33,12.5,0,6,"4"
5,3.3,0.6,-0.36,2.1,0.083,-101,-3,1.03086,3.2,0.56,7.1,1,8,"3"
5,16.8,0.4,0.18,9,0.051,28.5,382,0.9964,3.57,2.14,8.8,2,7,"3"
3,9.6,2.91,0.4,-38.2,0.044,83,135,1.01877,2.35,0.5,9.8,0,10,"0"
4,9.2,0.71,0.23,39.2,0.042,-110,302,0.9948,3.75,-0.47,5.5,0,10,"2"
5,10,0.04,-0.27,10.6,-0.112,31,-46,1.00996,3.27,-2.45,9.3,1,8,"3"
3,5.2,-2.31,0.47,-39,0.146,28,-114,0.96932,2.59,1.45,7.5,0,7,"2"
0,-5.1,0.27,0.77,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,1,7,"0"
2,18.5,0.31,-0.36,10.7,0.471,51,202,0.9977,3.85,0.43,8.7,-1,8,"2"
3,7.9,-0.64,0.26,-90.25,0.416,1,616,1.03664,2.24,2,19.4,-1,9,"1"
0,-10.8,0.59,0.02,-45.9,0.044,24,378,1.00765,2.75,-0.77,9.7,0,8,"0"
6,5.9,0.24,0.26,-43.7,-0.743,36,767,0.99316,3.44,0.51,10.4,1,9,"3"
0,7.5,0.52,0.4,2.2,-0.062,-258,270,0.96932,2.57,0.35,11.8,-2,8,"0"
3,0,-0.83,0.29,14.4,-0.302,68,118,1.02262,1.94,0.59,11.7,-1,7,"3"
2,9.2,0.28,-0.21,41.15,0.058,39,-151,0.996,3.96,-1.17,22.3,-1,10,"2"
2,-2.8,1.49,-0.79,63.2,0.05,-115,223,1.01429,3.63,2.16,8.6,-1,7,"0"
2,15,0.27,0.26,32.9,0.102,208,216,0.9984,3.15,0.94,9.3,-1,7,"1"
6,7,0.27,0.36,42.5,0.045,228,929,1.001,3.71,0.45,8.8,2,8,"3"
2,19.2,0.53,0.09,-23.8,0.037,-202,145,0.96781,3.75,0.32,9.4,-1,10,"1"
2,6.6,0.18,0.28,3.3,0.044,-109,376,0.97201,3.42,0.64,7.8,-2,7,"0"
3,1.6,0.26,0.15,1.3,-0.259,51,154,0.99354,3.14,0,14.2,0,6,"0"
3,-1.5,-0.12,1.04,12.3,0.051,-203,-253,0.99676,3.5,0.67,9.4,0,7,"0"
0,6.2,0.36,0.45,-9.8,0.06,22,210,0.999,2.44,0.56,8.4,-1,7,"0"
3,7.9,0.18,0.33,-14.9,0.033,67,147,0.98946,2.92,0.85,10.5,-2,8,"1"
3,7,2.65,-0.97,7.2,-0.484,-107,-84,0.96966,4.36,0.55,4,-1,7,"2"
4,6.4,0.42,0.58,54.4,-0.09,28,260,1.0003,2.42,-0.52,10.98,1,7,"1"
4,8.6,0.29,-0.59,0.9,0.332,-124,113,1.01155,1.96,0.47,5,1,8,"1"
4,8.3,0.25,0.33,-21.7,0.556,-197,72,0.95389,3.74,0.48,9.5,1,9,"2"
4,7.7,1.38,1,19.6,-0.594,115,-477,1.03921,3.33,2.1,12,0,9,"3"
2,7.1,0.2,0.19,7.8,-0.253,48,-49,1.05267,3.89,0.5,9.4,-1,8,"0"
0,7.3,-0.74,0.35,1.6,0.378,31,131,1.01949,1.18,0.47,10.7,-1,8,"0"
4,4.9,-0.74,0.43,11.75,0.045,-75,566,0.9969,2.7,3.54,7.4,1,7,"2"
1,-1.9,2.34,0.44,3.5,0.094,5,109,1.00602,2.84,0.43,7.8,0,6,"0"
5,5.9,0.25,1.76,1.5,0.029,-252,81,0.9892,3.23,0.46,12.2,1,6,"2"
5,6.2,0.05,-0.43,3.2,-0.123,80,89,0.98956,3.06,1.78,10.1,0,7,"3"
0,9.5,-0.71,0.78,-42.2,-0.022,270,-326,0.9456,3.2,0.55,9.5,0,9,"2"
4,11.3,-0.67,1.27,27.6,0.032,248,148,0.97117,3.39,-0.79,11.5,-1,10,"2"
0,8.3,2.19,2.58,-124.2,0.205,406,29,0.95373,3.48,0.49,11,1,9,"0"
5,-1.2,-0.76,0.49,8.65,0.114,42,186,0.95752,2.25,0.38,13.3,-1,9,"2"
3,8.9,0.5,-1.12,48.8,0.049,-110,99,1.00815,4.28,0.02,7.9,0,6,"0"
0,6.6,-0.22,0.93,65.3,0.062,37,53,0.99374,3.97,-2.22,12.4,0,7,"0"
5,8.9,0.36,-1,-58.9,0.04,97,143,0.99173,3.33,1.53,12.2,0,8,"3"
0,7.1,0.43,1.18,5.5,-0.056,146,129,0.9973,3.03,0.39,8.7,0,8,"1"
0,13.2,1.49,0.55,2.7,0.53,-215,483,1.0006,3.72,2.27,9.4,0,14,"0"
0,2.2,-1.195,-0.85,2.6,0.451,254,-244,0.95056,3.26,-0.49,14.4,1,9,"0"
5,0.4,1.04,-0.96,68.3,0.038,-211,429,0.9948,3.58,0.94,6.4,1,7,"2"
0,9,-0.57,1.82,2.9,-0.468,-100,92,0.9982,1.87,0.61,9.5,0,10,"0"
0,-1.4,-0.07,0.26,7.3,-0.001,37,221,0.99184,1.15,0.63,9,0,8,"0"
4,1.6,0.26,0.16,6,-0.223,192,125,0.98891,3.13,0.55,10.7,0,8,"1"
0,7.1,0.59,-1.17,2.3,-0.318,-162,-67,0.9955,3.57,0.58,9.5,-1,8,"0"
0,7.3,0.43,-0.78,46,-0.119,196,906,1.01645,4.77,0.08,10.3,1,9,"0"
5,5.5,0.36,0.25,-8.8,-0.763,18,75,0.99006,2.19,2.08,5.9,1,6,"2"
6,12.7,0.42,0.17,4.3,0.397,-129,43,1.02966,3.14,1.92,12.8,0,8,"3"
1,6.1,-0.8,-0.14,-29.7,-0.471,-16,271,1.02701,2.76,0.78,9,-1,7,"2"
3,6.8,-0.82,0.23,10,0.061,146.5,238.5,0.9958,3.32,1.57,9.5,0,7,"2"
5,9.2,-0.62,0.88,62.3,0.59,6,214,0.9978,3.89,0.9,11,0,11,"2"
3,10.7,0.59,0.45,2.3,0.082,-114,-100,1,2.14,1.31,12.5,-1,14,"1"
0,3.6,2.65,-0.79,82.9,0.05,-73,200,0.96603,3.04,0.6,8,0,8,"0"
6,-2.3,-0.32,0.27,2.6,0.024,20,105,0.9906,3.4,1.24,12.2,1,7,"0"
4,11.8,0.49,0.1,2.3,0.074,-117,-289,1.02319,2.13,1.4,10.2,0,7,"2"
4,17.4,-0.65,0.31,-21.3,0.028,236,128,0.92255,3.84,2.4,11.4,-2,8,"1"
6,7.4,0.16,1.79,18.2,0.056,33,168,1.02402,2.39,0.75,8.7,1,8,"3"
4,12.5,0.42,-0.76,2.1,-0.163,5,16,0.96591,3.27,0.77,5.5,0,11,"1"
5,5.9,0.28,1.78,8.6,0.032,30,349,0.99542,3.28,0.44,7.4,1,6,"3"
5,14,0.23,0.39,4.8,0.032,-165,-63,0.99175,3.32,0.98,2,1,7,"2"
5,7.7,1.16,0.49,5.8,0.294,120,689,0.9942,3.07,-0.21,17.1,1,7,"3"
3,10.3,-0.62,0.19,6.9,0.041,309,150,1.039,3.23,0.37,10,-1,8,"2"
3,1.6,-1.07,0.3,2,0.053,-152,-570,0.994,3.54,-0.47,9.6,-1,8,"3"
3,-2.4,1.08,0.25,-10,-0.051,321,138,1.0001,4.47,-1.05,4.8,0,7,"2"
4,10.7,0.13,0.28,5.7,0.038,-12,189.5,1.02256,2.61,0.63,16,-1,6,"2"
4,5.8,1.195,0.65,-35.5,0.366,-210,-235,0.96606,2.85,1.05,5.5,0,6,"3"
6,7,0.12,0.29,61.9,-0.233,-198,98,0.99564,3.19,0.38,16.3,0,7,"3"
3,6.5,-0.17,-0.35,32.9,0.04,25,161,1.04353,2.17,-0.14,15.3,0,7,"0"
1,9.3,0.68,-1.6,6.1,0.075,-238,77,0.9822,3.38,1.65,15.6,-2,8,"2"
4,6.2,0,-0.66,41.8,0.19,91,476,0.98926,3.2,0.66,11,1,7,"2"
5,6.3,-0.52,0.42,123.2,-0.158,618,-41,1.0432,3.26,1.71,15.6,1,7,"2"
0,11.6,0.42,1.02,53,-0.471,-200,-316,1.01504,2.71,0.95,9.5,0,13,"1"
4,-4.6,0.39,-1.3,8.3,0.196,276,-600,0.9918,3.24,0.41,10,1,7,"1"
1,23.2,1.45,0.52,3,0.19,29,55,1.0001,3.26,2.32,14.5,-2,12,"0"
5,7.1,0.18,0.26,-61.9,0.186,46,296,1.01285,3.04,2.51,12.8,1,8,"1"
4,7.5,-0.21,0.45,10.7,0.029,20,125,0.93809,3.12,0.36,15.9,0,8,"1"
4,8.4,-0.93,0.52,7.4,-0.126,253,841,0.90019,2.61,0.33,7.6,-1,9,"4"
4,6.2,0.22,0.28,2.2,0.04,24,351,0.97548,3.08,1.28,10.1,0,7,"2"
0,12.3,0.26,0.26,-21.1,-0.23,35.5,216,1.01349,3.69,0.84,7.4,0,7,"1"
0,7.3,0.35,0.18,2.1,-0.092,12,28,1.0834,3.52,0.73,9.5,0,8,"0"
0,6.2,0.22,0.28,1.1,0.138,47,478,1.03275,3.39,0,12.6,0,7,"0"
3,6.8,0.46,0.26,6.3,0.147,111,159,0.99434,3.14,1.25,10,0,8,"1"
4,7.3,0.83,0.25,-56.5,0.045,66,397,0.99329,3.18,0.54,10.3,1,8,"2"
4,14.1,1.24,0.41,58.9,0.048,-74,-255,1.01449,3.09,2.74,8.1,-1,7,"2"
5,5.2,0.2,0.27,3.2,-0.448,169,468,1.00526,4.22,0.53,9.5,0,6,"0"
4,5.7,0.32,-1.09,1.3,-0.262,491,133,1.02421,3.99,0.37,17.5,0,6,"2"
0,8,0.6,-0.99,2.6,0.056,3,0,0.99286,3.22,-1.3,13,-1,9,"0"
3,11,0.34,-0.15,3.8,0.035,57,-226,0.94741,3.09,0.34,12,-1,7,"2"
2,7.6,0.9,0.49,1.7,-0.395,34,169,1.01082,3.05,0.37,10.1,-1,9,"1"
4,-16,1.5,-0.29,12.1,-0.291,68,155,1.0121,4.33,1.09,14.2,1,8,"1"
3,4.9,0.25,0.28,12.3,0.052,-279,452,0.9926,3.05,-0.09,4.5,0,8,"0"
0,6.1,2.34,0.16,68.8,0.033,287,209,0.99058,3.35,0.39,11.7,1,7,"0"
2,18.2,0.36,0.28,6.7,0.185,51.5,151,1.02596,3.17,-0.34,3.9,-1,7,"0"
4,6.6,0.14,0.44,-32,0.108,-231,-35,1.0084,4.2,1.64,16,0,7,"2"
5,2.2,0.77,-0.24,4.8,0.193,39,113,0.97517,3.47,0.52,10.2,0,8,"0"
3,6.7,-1.07,0,59.4,-0.912,-46,156,0.99666,2.88,-0.64,15,-1,7,"2"
4,5.4,0.28,-0.52,8.3,0.477,61,-105,1.06432,3.76,1.32,15.2,1,7,"2"
4,11.55,0.61,0.37,3.2,-0.18,20,24,0.99076,4.2,0.47,8.3,1,7,"1"
5,-0.6,1.25,-1.29,33.3,0.516,64,109,0.9902,3.15,0.31,7.5,0,8,"3"
4,18.2,-1.23,1.39,39.1,0.098,45,-128,0.94591,4.01,0.51,9.7,0,7,"2"
5,6.6,0.35,-0.74,6,0.21,-194,150,0.96986,3.1,0.47,9.4,1,7,"4"
0,8.1,0.53,0.64,3.5,0.103,169,89,0.99678,3.58,-0.91,15.4,1,9,"0"
0,12.7,0.6,0.49,2.8,0.254,5,19,0.97331,3.14,0.57,11.4,0,14,"0"
0,8.6,0.83,0.35,-16.5,-0.11,-49,-71,0.99822,2.2,1.14,10.4,-1,9,"0"
0,24,0.28,1.92,-45.9,0.093,6,12,1.00989,2.2,-0.93,10.8,-2,9,"0"
3,-2.7,0.32,0.79,-27.4,0.074,27,172,0.9969,3.28,0.79,10.7,0,10,"1"
1,8.5,0.26,0.21,16.2,0.342,41,60,0.998,3.71,0.43,3.5,0,9,"1"
0,12.9,0.2,0.44,26.4,0.043,-397,-60,0.9932,1.33,0.75,6.2,0,8,"1"
4,1.8,-0.35,1.94,4.2,0.047,232,475,1.06082,1.93,0.76,12.3,0,8,"2"
4,10.2,-1.69,1.18,-23,0.583,23,54,1.02726,2.72,-0.45,8.8,1,8,"1"
4,6.3,0.51,0.18,45.5,-0.399,61,-94,0.99542,2.86,0.46,9.9,0,7,"2"
4,-0.1,0.04,-0.15,6.3,0.054,34,-125,0.9964,2.7,0.54,10,0,8,"1"
3,16.9,0.79,-0.97,-54.1,0.526,211,-134,1.02538,3.03,0.95,8.9,0,8,"1"
5,6.7,0.15,0.83,-17.9,0.058,28,105,0.9946,3.52,-1.25,8.4,0,7,"0"
0,4.8,0.27,1.22,3.9,0.41,62,140,0.99237,2.51,0.59,11.1,0,7,"0"
4,10,0.44,1.42,2.7,-0.107,54,19,0.9963,3.84,0.63,11.6,-1,11,"2"
6,2.6,0.3,1.3,-7.4,0.038,-116,97,1.00627,3.2,3.01,12.6,0,7,"4"
0,6.6,0.31,-1.02,7.2,0.05,-193,15,0.9964,4.2,0.45,2.8,1,7,"0"
1,6.8,0.915,-0.03,65.4,0.314,-53,295,1.02225,3.53,-0.93,9.6,-2,8,"1"
2,-2.8,0.23,0.27,-30.3,0.067,42,124,1.06356,4.35,1.61,12.9,-2,6,"1"
2,10.2,0.68,1,1.5,0.386,18,75,0.99189,3.54,0.59,10.7,-1,8,"0"
2,7.6,2.1,1.36,2.1,0.034,-261,-84,0.98755,3.42,-1.02,5.3,0,8,"1"
3,14.4,1.39,0.45,11.2,0.102,56,223,0.997,3.15,0.47,7.3,0,8,"3"
0,17.1,0.65,0.59,2.1,0.08,8,259,0.9972,3.47,0.67,10.4,1,8,"0"
4,6.2,-0.64,0.29,-112.1,-0.272,274,244,0.98084,3.36,0.55,12.9,0,7,"0"
4,-6.1,0.99,0.11,19.2,-0.418,-121,-255,0.97783,3.89,0.36,12.5,0,7,"3"
0,5.6,0.915,-0.66,53.4,-0.007,17,462,0.99346,3.68,0.73,11.4,-1,7,"0"
